Name, Date, Description, Observed, IsHoliday, IsWorkday
元旦, 2018-01-01, , , 1, 0
春节假期调休, 2018-02-11, , , 0, 1
春节假期, 2018-02-15, , , 1, 0
春节假期, 2018-02-16, , , 1, 0
春节假期, 2018-02-17, , , 1, 0
春节假期, 2018-02-18, , , 1, 0
春节假期, 2018-02-19, , , 1, 0
春节假期, 2018-02-20, , , 1, 0
春节假期, 2018-02-21, , , 1, 0
春节假期调休, 2018-02-24, , , 0, 1
清明节, 2018-04-05, , , 1, 0
清明假期, 2018-04-06, , , 1, 0
清明假期, 2018-04-07, , , 1, 0
清明节调休, 2018-04-08, , , 0, 1
劳动节调休, 2018-04-28, , , 0, 1
劳动节假期, 2018-04-29, , , 1, 0
劳动节假期, 2018-04-30, , , 1, 0
劳动节, 2018-05-01, , , 1, 0
端午节, 2018-06-18, , , 1, 0
中秋节, 2018-09-24, , , 1, 0
国庆假期调休, 2018-09-29, , , 0, 1
国庆假期调休, 2018-09-30, , , 0, 1
国庆节, 2018-10-01, , , 1, 0
国庆假期, 2018-10-02, , , 1, 0
国庆假期, 2018-10-03, , , 1, 0
国庆假期, 2018-10-04, , , 1, 0
国庆假期, 2018-10-05, , , 1, 0
国庆假期, 2018-10-06, , , 1, 0
国庆假期, 2018-10-07, , , 1, 0
